

NC013,Software Systems Area Based Part ,250















PB253,Business Studies ,170















RC001,Medicine 
RC003,Medicine with Leaving Cert Scholars 
RC004,Physiotherapy 















CS001,Home Economics 















PD101,Drumcondra ,430
PD102,
PD103,Humanities ,370















TR002,Music 
TR003,History 
TR004,Law 
TR005,Philosophy ,400
TR006,Psychology ,535
TR007,Clinical Speech ,505
TR008,Biblical Theology ,285
TR009,Music Education 
TR010,
TR011,
TR012,Hist Politics 
TR013,
TR014,Sci ,505
TR018,
TR019,
TR021,Classics ,440
TR022,Early Modern Irish ,315
TR023,English 
TR024,European studies 
TR025,Drama Theatre 
TR026,Germanic Languages AQA 
TR031,Mathematics ,390
TR032,Engineering ,435
TR033,Computer Science ,420
TR034,Management Science 
TR035,
TR036,Computer Science Evening ,280
TR037,Information AQA 
TR038,Manufacturing with Mgt Science ,335
TR051,Medicine 
TR052,Dentistry 
TR053,Physiotherapy ,530
TR054,Occupational Therapy ,480
TR055,Therapeutic Radiography ,485
TR071,Science ,400
TR072,Pharmacy 
TR073,Human Genetics ,535
TR074,Computational Chem Physics ,385
TR075,Medicinal Chemistry ,475
TR076,of Advanced Materials ,350
TR081,BESS 
TR083,Sociology Social Policy 
TR084,Social Work ,465
TR085,
TR086,
TR087,
TR088,
TR001,Moderatorship 







































DN001,Architecture 
DN002,Medicine 
DN004,Radiography 
DN005,Veterinary Medicine 
DN006,Physiotherapy 
DN007,Social Science ,410
DN008,Science ,300
DN009,Law 
DN010,Agricultural Science ,320
DN011,Music 
DN012,Arts 
DN014,Irish ,440
DN015,Commerce 
DN016,
DN017,
DN018,
DN019,
DN020,Actuarial and Financial Studies ,550
DN021,Business and Legal Studies ,475
DN022,Arts ,155
DN024,Sports Management ,405
DN026,Economics Finance ,460
DN029,Law with French Law 
DN030,Computer Science ,410
DN031,Theoretical Physics ,360
DN032,Mathematical Science ,485
DN040,Food Science ,360
DN041,Landscape Horticulture ,410
DN042,Forestry ,275
DN050,Computer Science ,425
DN051,Economics 
DN052,History ,450
DN053,Philosophy ,380
DN054,Psychology 
DN057,BA International French 
DN058,BA International German 
DN059,BA International Spanish ,430
DN070,Agriculture and Food Engineering ,335
DN071,Chemical Engineering ,445
DN072,Civil Engineering ,435
DN073,Electronic or Electrical ,400
DN074,Mechanical Engineering 
DN075,Civil Engineering or Mechanical Eng ,460
DN105,Veterinary Medicine Graduate Entr 















DK104,Accounting Finance ,300
DK106,Business Studies in Marketing ,300
DK206,Business Studies in Marketing ,275
DK306,Business Studies in Marketing Ger ,250















GA019,
GA020,Manufacturing ,225
GA042,Construction Management ,345
GA044,agus Cumarsaid ,245
GA047,Theological Studies Practice ,275















GY101,Arts ,395
GY102,Arts ,325
GY103,Arts Social ,370
GY104,Arts Psychology ,520
GY201,Commerce ,420
GY202,Commerce with French 
GY203,Commerce with German ,420
GY204,Commerce with Spanish ,400
GY205,Commerce with Italian ,385
GY250,Corporate Law 
GY251,Bachelor of Civil Law ,495
GY301,Science ,310
GY302,
GY303,Biomedical Science ,485
GY304,Biotechnology 
GY306,Computing Studies ,330
GY307,Earth Sciences ,320
GY308,Environmental Science ,360
GY309,Financial Mathematics and ,430
GY310,Marine Science ,340
GY312,Physics and Astronomy ,405
GY313,Health and Safety Systems ,380
GY350,Information Technology ,385
GY401,Engineering ,480
GY402,Civil Engineering 
GY403,Electronic Engineering ,435
GY404,Industrial Engineering ,380
GY405,Mechanical Engineering ,420
GY406,Electronic Computer Engineering ,465
GY407,Engineering with Language ,410
GY408,Biomedical Engineering ,445
GY409,Environmental Engineering ,420
GY501,Medicine ,545















LY151,Computing with Data Communications ,305















LC331,Software Development ,325
LC471,Quantity Surveying ,375
LC481,Valuation Surveying ,330
LC491,Building Management ,330















MI005,Mary Immaculate 
MI006,Mary ,395















LM020,Law and Accounting ,520
LM021,
LM040,European Studies ,350
LM041,Public Administration ,370
LM042,Studies 
LM043,
LM044,Applied Languages ,480
LM045,Language Cultural Studies ,370
LM046,
LM047,Arts 
LM048,Irish Studies ,360
LM050,Business Studies ,420
LM051,Computer Systems ,320
LM052,
LM053,
LM054,
LM055,
LM059,Computer Systems with French ,470
LM060,Mathematical ,395
LM061,Industrial Chemistry ,360
LM062,Materials Science ,330
LM063,Production Management 
LM064,Industrial Biochemistry ,390
LM065,Applied Physics ,370
LM066,Environmental Science ,345
LM067,Wood ,320
LM068,Food Technology ,315
LM069,Computer Engineering ,420
LM070,Electronic Engineering ,430
LM072,Industrial Design 
LM073,Mechanical Engineering ,415
LM077,Aeronautical Eng ,410
LM078,Mech Engineering German ,450
LM079,Manufacturing Engineering ,350
LM080,Electronic Systems ,315
LM081,Manufacturing Technol ,305
LM083,Information Technology ,340
LM089,Sports Science ,435
LM090,PE Teaching 
LM092,Biological with Teachi ,360
LM093,Equine Science ,330
LM094,Teaching ,420
LM095,Teaching ,400
LM096,Physics and Chemistry Teaching ,360















MH101,Arts ,355
MH102,Finance ,365
MH103,Music 
MH104,French and Historical Studies ,360
MH105,German and Historical Studies ,355
MH106,Psychology ,490
MH201,Science ,300
MH202,Biotechnology ,330
MH203,Computer Science ,340
MH204,Physics with Astrophysics ,460
MH205,Theoretical Physics Science ,375
MH206,Theoretical Physics and Mathematics ,505
MH207,Computational Bioinformatic ,405
MH301,Computer Engineering ,330
MH302,Electronic Engineering ,330
MH303,Communications Engineering ,340















MU001,Theology and Arts ,330















SN001,Business Studies in Int Hotel Mgt 
SN002,Commerce Dip in Int Hotel Mgt 















SG341,Quality Management ,245
SG441,Environmental Science Tech ,280















AS001,Home Econ Biology ,420
AS002,Home Econ Catechetics 















TL170,Folk Theatre Studies 
TL280,Business Studies ,335
TL320,Computing with Enterprise Studies ,285















WD025,Construction Management ,300
WD026,Electronics ,280
WD027,Music 
WD028,Applied Computing ,290
WD048,Business studies ,340
WD049,Business French ,340
WD079,Administration ,305
WD080,Business with German ,340
WD084,Accounting ,330
WD085,Manufacturing Systems Engineering ,300
WD086,Electronic Engineering ,330
WD091,Hospitality Management ,290
WD095,Marketing ,340
